current_state,region,division,year,population,same_house,same_state,from_different_state_Total,abroad_Total,from,from_region,from_division,number_of_people
Montana,West,Mountain,2012,995544,829489,126463,37690,1902,Alabama,South,East South Central,31
Nebraska,Midwest,West North Central,2012,1829420,1540361,237937,43266,7856,Alabama,South,East South Central,245
Nevada,West,Mountain,2012,2725280,2105070,481496,124285,14429,Alabama,South,East South Central,761
New Hampshire,Northeast,New England,2012,1309203,1127376,125118,50484,6225,Alabama,South,East South Central,0
New Jersey,Northeast,Middle Atlantic,2012,8772744,7929570,655465,130223,57486,Alabama,South,East South Central,779
New Mexico,West,Mountain,2012,2060595,1769341,226243,54693,10318,Alabama,South,East South Central,787
New York,Northeast,Middle Atlantic,2012,19352153,17202134,1723117,270053,156849,Alabama,South,East South Central,1364
North Carolina,South,South Atlantic,2012,9640490,8167830,1149080,273149,50431,Alabama,South,East South Central,4329
North Dakota,Midwest,West North Central,2012,689838,563978,84294,38213,3353,Alabama,South,East South Central,83
Ohio,Midwest,East North Central,2012,11414635,9735390,1440815,196391,42039,Alabama,South,East South Central,3705
Oklahoma,South,West South Central,2012,3762311,3107367,531347,108972,14625,Alabama,South,East South Central,1030
Oregon,West,Pacific,2012,3857465,3158450,560673,118925,19417,Alabama,South,East South Central,373
Pennsylvania,Northeast,Middle Atlantic,2012,12630082,11107110,1252378,215500,55094,Alabama,South,East South Central,1926
Rhode Island,Northeast,New England,2012,1040527,899551,101165,33446,6365,Alabama,South,East South Central,20
South Carolina,South,South Atlantic,2012,4668886,3929626,564350,156705,18205,Alabama,South,East South Central,1665
South Dakota,Midwest,West North Central,2012,821669,676014,115606,26051,3998,Alabama,South,East South Central,0
Tennessee,South,East South Central,2012,6378278,5396833,783077,177098,21270,Alabama,South,East South Central,12116
Texas,South,West South Central,2012,25711791,21354247,3656070,507752,193722,Alabama,South,East South Central,9993
Utah,West,Mountain,2012,2805440,2324019,373980,87870,19571,Alabama,South,East South Central,126
Vermont,Northeast,New England,2012,620224,532237,61242,24431,2314,Alabama,South,East South Central,16
Virginia,South,South Atlantic,2012,8085389,6857430,915242,250653,62064,Alabama,South,East South Central,2515
Washington,West,Pacific,2012,6815763,5648199,904695,215494,47375,Alabama,South,East South Central,1507
West Virginia,South,South Atlantic,2012,1837518,1613322,174112,47125,2959,Alabama,South,East South Central,477
Wisconsin,Midwest,East North Central,2012,5660677,4849945,693737,99192,17803,Alabama,South,East South Central,323
Wyoming,West,Mountain,2012,569734,459226,77324,31149,2035,Alabama,South,East South Central,260
Puerto Rico,Puerto Rico,Puerto Rico,2012,3628402,3366593,238042,20044,3723,Alabama,South,East South Central,8
Alabama,South,East South Central,2013,4781296,4067683,594583,104102,14928,Alabama,South,East South Central,0
Alaska,West,Pacific,2013,725193,583799,99953,34360,7081,Alabama,South,East South Central,572
Arizona,West,Mountain,2013,6543362,5321158,941347,236146,44711,Alabama,South,East South Central,2140
Arkansas,South,West South Central,2013,2923642,2475807,367837,70621,9377,Alabama,South,East South Central,0
California,West,Pacific,2013,37873189,32197933,4898331,485477,291448,Alabama,South,East South Central,2958
Colorado,West,Mountain,2013,5206012,4186643,778520,206543,34306,Alabama,South,East South Central,2926
Connecticut,Northeast,New England,2013,3562959,3127421,325895,88351,21292,Alabama,South,East South Central,337
Delaware,South,South Atlantic,2013,914025,791278,81363,36790,4594,Alabama,South,East South Central,0
District of Columbia,South,South Atlantic,2013,636535,509958,68917,46571,11089,Alabama,South,East South Central,316
Florida,South,South Atlantic,2013,19345059,16199361,2442119,529406,174173,Alabama,South,East South Central,10281
Georgia,South,South Atlantic,2013,9870319,8256209,1279601,278972,55537,Alabama,South,East South Central,18739
Hawaii,West,Pacific,2013,1387361,1177733,135860,58083,15685,Alabama,South,East South Central,593
Idaho,West,Mountain,2013,1592596,1317235,205418,61592,8351,Alabama,South,East South Central,72
Illinois,Midwest,East North Central,2013,12740816,11036387,1411859,223605,68965,Alabama,South,East South Central,2044
Indiana,Midwest,East North Central,2013,6492306,5499346,835689,133508,23763,Alabama,South,East South Central,1235
Iowa,Midwest,West North Central,2013,3053635,2585189,380270,75650,12526,Alabama,South,East South Central,180
Kansas,Midwest,West North Central,2013,2854869,2386028,363906,89735,15200,Alabama,South,East South Central,1074
Kentucky,South,East South Central,2013,4345186,3665604,558412,103207,17963,Alabama,South,East South Central,1418
Louisiana,South,West South Central,2013,4568320,3941211,519010,91889,16210,Alabama,South,East South Central,2683
Maine,Northeast,New England,2013,1315753,1128262,146334,36780,4377,Alabama,South,East South Central,13
Maryland,South,South Atlantic,2013,5857213,5078020,572131,161525,45537,Alabama,South,East South Central,1918
Massachusetts,Northeast,New England,2013,6619999,5724592,700613,135150,59644,Alabama,South,East South Central,409
Michigan,Midwest,East North Central,2013,9784094,8296283,1294706,144091,49014,Alabama,South,East South Central,2517
Minnesota,Midwest,West North Central,2013,5353441,4585137,636274,104825,27205,Alabama,South,East South Central,493
Mississippi,South,East South Central,2013,2957797,2531410,350982,68588,6817,Alabama,South,East South Central,7077
Missouri,Midwest,West North Central,2013,5973448,5015609,779132,159936,18771,Alabama,South,East South Central,1004
Montana,West,Mountain,2013,1003013,827494,130187,40035,5297,Alabama,South,East South Central,21
Nebraska,Midwest,West North Central,2013,1842900,1546788,241707,45854,8551,Alabama,South,East South Central,294
Nevada,West,Mountain,2013,2757365,2166730,447480,126583,16572,Alabama,South,East South Central,491
New Hampshire,Northeast,New England,2013,1310978,1128583,131200,44867,6328,Alabama,South,East South Central,123
New Jersey,Northeast,Middle Atlantic,2013,8803679,7941559,667248,136907,57965,Alabama,South,East South Central,853
New Mexico,West,Mountain,2013,2059689,1764969,224508,56808,13404,Alabama,South,East South Central,63
New York,Northeast,Middle Atlantic,2013,19431954,17297785,1715158,272066,146945,Alabama,South,East South Central,1648
North Carolina,South,South Atlantic,2013,9737365,8233641,1176351,275922,51451,Alabama,South,East South Central,3268
North Dakota,Midwest,West North Central,2013,714804,593677,78944,38908,3275,Alabama,South,East South Central,0
Ohio,Midwest,East North Central,2013,11439593,9748676,1458505,185749,46663,Alabama,South,East South Central,1318
Oklahoma,South,West South Central,2013,3801521,3131192,545546,109255,15528,Alabama,South,East South Central,1024
Oregon,West,Pacific,2013,3888216,3154813,571472,143841,18090,Alabama,South,East South Central,704
Pennsylvania,Northeast,Middle Atlantic,2013,12639493,11113742,1240573,224280,60898,Alabama,South,East South Central,720
Rhode Island,Northeast,New England,2013,1040986,905093,94129,34108,7656,Alabama,South,East South Central,279
South Carolina,South,South Atlantic,2013,4720602,4000306,537062,166047,17187,Alabama,South,East South Central,1715
South Dakota,Midwest,West North Central,2013,832703,691659,108713,30042,2289,Alabama,South,East South Central,84
Tennessee,South,East South Central,2013,6419226,5429144,779329,186525,24228,Alabama,South,East South Central,8500
Texas,South,West South Central,2013,26087349,21658382,3695565,548034,185368,Alabama,South,East South Central,8404
Utah,West,Mountain,2013,2854667,2361079,377528,97869,18191,Alabama,South,East South Central,574
Vermont,Northeast,New England,2013,621256,542002,53684,23180,2390,Alabama,South,East South Central,27
Virginia,South,South Atlantic,2013,8163664,6874626,962359,266348,60331,Alabama,South,East South Central,4894
Washington,West,Pacific,2013,6888552,5700703,927367,208215,52267,Alabama,South,East South Central,686
West Virginia,South,South Atlantic,2013,1837863,1621269,161679,51957,2958,Alabama,South,East South Central,196
