current_state,region,division,year,population,same_house,same_state,from_different_state_Total,abroad_Total,from,from_region,from_division,number_of_people
Nebraska,Midwest,West North Central,2014,1855356,1541744,252232,52200,9180,Mississippi,South,East South Central,0
Nevada,West,Mountain,2014,2806170,2235861,426512,130390,13407,Mississippi,South,East South Central,643
New Hampshire,Northeast,New England,2014,1314735,1134514,133298,41393,5530,Mississippi,South,East South Central,588
New Jersey,Northeast,Middle Atlantic,2014,8840346,7961796,686056,128911,63583,Mississippi,South,East South Central,394
New Mexico,West,Mountain,2014,2060189,1770053,212456,68917,8763,Mississippi,South,East South Central,667
New York,Northeast,Middle Atlantic,2014,19528220,17418181,1693064,258571,158404,Mississippi,South,East South Central,1724
North Carolina,South,South Atlantic,2014,9832152,8332705,1166928,286533,45986,Mississippi,South,East South Central,1029
North Dakota,Midwest,West North Central,2014,729874,602508,85084,39059,3223,Mississippi,South,East South Central,331
Ohio,Midwest,East North Central,2014,11464891,9742065,1484132,196742,41952,Mississippi,South,East South Central,994
Oklahoma,South,West South Central,2014,3827288,3148699,550149,111346,17094,Mississippi,South,East South Central,850
Oregon,West,Pacific,2014,3927857,3196441,571056,137008,23352,Mississippi,South,East South Central,0
Pennsylvania,Northeast,Middle Atlantic,2014,12645888,11103966,1241534,232889,67499,Mississippi,South,East South Central,12
Rhode Island,Northeast,New England,2014,1045791,906936,98869,32621,7365,Mississippi,South,East South Central,0
South Carolina,South,South Atlantic,2014,4780659,4046123,542930,171969,19637,Mississippi,South,East South Central,1055
South Dakota,Midwest,West North Central,2014,842076,701352,109496,28198,3030,Mississippi,South,East South Central,0
Tennessee,South,East South Central,2014,6471445,5465071,796577,182130,27667,Mississippi,South,East South Central,8166
Texas,South,West South Central,2014,26588600,22151594,3681042,538572,217392,Mississippi,South,East South Central,12308
Utah,West,Mountain,2014,2894001,2407608,374578,90234,21581,Mississippi,South,East South Central,752
Vermont,Northeast,New England,2014,620898,536915,59850,22635,1498,Mississippi,South,East South Central,26
Virginia,South,South Atlantic,2014,8224054,6891144,995822,262477,74611,Mississippi,South,East South Central,1999
Washington,West,Pacific,2014,6979369,5757065,934922,220259,67123,Mississippi,South,East South Central,485
West Virginia,South,South Atlantic,2014,1831414,1617510,162340,47957,3607,Mississippi,South,East South Central,184
Wisconsin,Midwest,East North Central,2014,5692727,4868506,688104,117831,18286,Mississippi,South,East South Central,1142
Wyoming,West,Mountain,2014,577782,475740,74601,25992,1449,Mississippi,South,East South Central,0
Puerto Rico,Puerto Rico,Puerto Rico,2014,3511186,3251389,237197,19771,2829,Mississippi,South,East South Central,63
Alabama,South,East South Central,2015,4801599,4113945,561019,114876,11759,Mississippi,South,East South Central,7442
Alaska,West,Pacific,2015,727862,582909,105769,34696,4488,Mississippi,South,East South Central,0
Arizona,West,Mountain,2015,6747595,5536087,910911,253281,47316,Mississippi,South,East South Central,544
Arkansas,South,West South Central,2015,2938341,2440359,407352,81594,9036,Mississippi,South,East South Central,3415
California,West,Pacific,2015,38675135,33446324,4377667,514477,336667,Mississippi,South,East South Central,2539
Colorado,West,Mountain,2015,5393067,4404058,728077,227445,33487,Mississippi,South,East South Central,881
Connecticut,Northeast,New England,2015,3554844,3109580,340126,76997,28141,Mississippi,South,East South Central,84
Delaware,South,South Atlantic,2015,935813,800701,86009,44495,4608,Mississippi,South,East South Central,26
District of Columbia,South,South Atlantic,2015,663006,525024,67188,59905,10889,Mississippi,South,East South Central,338
Florida,South,South Atlantic,2015,20068392,16832374,2438828,584938,212252,Mississippi,South,East South Central,5415
Georgia,South,South Atlantic,2015,10088525,8489689,1259007,283325,56504,Mississippi,South,East South Central,4395
Hawaii,West,Pacific,2015,1414355,1206066,136796,53742,17751,Mississippi,South,East South Central,164
Idaho,West,Mountain,2015,1635366,1333758,218791,73809,9008,Mississippi,South,East South Central,0
Illinois,Midwest,East North Central,2015,12706393,11029917,1399829,209828,66819,Mississippi,South,East South Central,2503
Indiana,Midwest,East North Central,2015,6540691,5527512,843210,147529,22440,Mississippi,South,East South Central,646
Iowa,Midwest,West North Central,2015,3081446,2598298,386465,85937,10746,Mississippi,South,East South Central,433
Kansas,Midwest,West North Central,2015,2875640,2405677,360715,91340,17908,Mississippi,South,East South Central,20
Kentucky,South,East South Central,2015,4373403,3706705,543811,106918,15969,Mississippi,South,East South Central,528
Louisiana,South,West South Central,2015,4612024,4007364,496223,93321,15116,Mississippi,South,East South Central,11095
Maine,Northeast,New England,2015,1317444,1127394,156271,30123,3656,Mississippi,South,East South Central,0
Maryland,South,South Atlantic,2015,5934005,5076791,638788,168894,49532,Mississippi,South,East South Central,767
Massachusetts,Northeast,New England,2015,6725678,5893936,634359,132642,64741,Mississippi,South,East South Central,499
Michigan,Midwest,East North Central,2015,9811416,8394658,1229302,142639,44817,Mississippi,South,East South Central,633
Minnesota,Midwest,West North Central,2015,5419822,4618325,661383,108476,31638,Mississippi,South,East South Central,220
Mississippi,South,East South Central,2015,2959289,2554660,327854,69351,7424,Mississippi,South,East South Central,0
Missouri,Midwest,West North Central,2015,6015580,5056661,777061,159152,22706,Mississippi,South,East South Central,1930
Montana,West,Mountain,2015,1019646,855861,118200,42760,2825,Mississippi,South,East South Central,61
Nebraska,Midwest,West North Central,2015,1869217,1570592,236217,52950,9458,Mississippi,South,East South Central,218
Nevada,West,Mountain,2015,2859489,2291842,413831,135999,17817,Mississippi,South,East South Central,152
New Hampshire,Northeast,New England,2015,1318121,1134482,122442,53446,7751,Mississippi,South,East South Central,241
New Jersey,Northeast,Middle Atlantic,2015,8854363,7987859,656570,144074,65860,Mississippi,South,East South Central,273
New Mexico,West,Mountain,2015,2060441,1767704,228103,55753,8881,Mississippi,South,East South Central,1327
New York,Northeast,Middle Atlantic,2015,19570171,17506652,1653268,257611,152640,Mississippi,South,East South Central,1083
North Carolina,South,South Atlantic,2015,9927547,8376304,1194157,310612,46474,Mississippi,South,East South Central,721
North Dakota,Midwest,West North Central,2015,745291,608377,90498,42618,3798,Mississippi,South,East South Central,238
Ohio,Midwest,East North Central,2015,11482142,9719944,1508889,203475,49834,Mississippi,South,East South Central,890
Oklahoma,South,West South Central,2015,3864908,3202689,532976,110878,18365,Mississippi,South,East South Central,712
Oregon,West,Pacific,2015,3985712,3277453,544776,141162,22321,Mississippi,South,East South Central,146
Pennsylvania,Northeast,Middle Atlantic,2015,12662192,11109753,1258572,232683,61184,Mississippi,South,East South Central,1560
Rhode Island,Northeast,New England,2015,1045062,901338,97722,38344,7658,Mississippi,South,East South Central,37
South Carolina,South,South Atlantic,2015,4839984,4106166,543488,170366,19964,Mississippi,South,East South Central,1309
South Dakota,Midwest,West North Central,2015,848285,702122,116343,26962,2858,Mississippi,South,East South Central,10
Tennessee,South,East South Central,2015,6522259,5535963,766524,195923,23849,Mississippi,South,East South Central,9473
Texas,South,West South Central,2015,27092848,22723345,3594282,553032,222189,Mississippi,South,East South Central,13476
Utah,West,Mountain,2015,2947423,2435722,390649,97361,23691,Mississippi,South,East South Central,1145
Vermont,Northeast,New England,2015,619952,532319,62067,21232,4334,Mississippi,South,East South Central,0
Virginia,South,South Atlantic,2015,8283737,6952362,983569,277715,70091,Mississippi,South,East South Central,1920
Washington,West,Pacific,2015,7089143,5778806,1017221,230907,62209,Mississippi,South,East South Central,916
West Virginia,South,South Atlantic,2015,1823753,1610407,167631,42078,3637,Mississippi,South,East South Central,249
Wisconsin,Midwest,East North Central,2015,5708201,4891636,690306,106511,19748,Mississippi,South,East South Central,684
Wyoming,West,Mountain,2015,579102,474927,65384,35947,2844,Mississippi,South,East South Central,0
Puerto Rico,Puerto Rico,Puerto Rico,2015,3443445,3193423,219833,24762,5427,Mississippi,South,East South Central,0
Alabama,South,East South Central,2016,4810126,4141850,529994,122220,16062,Mississippi,South,East South Central,7602
Alaska,West,Pacific,2016,731760,593897,100004,31300,6559,Mississippi,South,East South Central,92
Arizona,West,Mountain,2016,6851836,5586753,938077,273257,53749,Mississippi,South,East South Central,568
Arkansas,South,West South Central,2016,2949650,2484705,384811,71083,9051,Mississippi,South,East South Central,3699
California,West,Pacific,2016,38783436,33594813,4337251,514758,336614,Mississippi,South,East South Central,3174
Colorado,West,Mountain,2016,5476928,4466067,754712,223260,32889,Mississippi,South,East South Central,1319
Connecticut,Northeast,New England,2016,3541758,3116440,323316,75586,26416,Mississippi,South,East South Central,0
Delaware,South,South Atlantic,2016,942073,817779,85147,33400,5747,Mississippi,South,East South Central,105
District of Columbia,South,South Atlantic,2016,672022,538547,64166,58154,11155,Mississippi,South,East South Central,224
Florida,South,South Atlantic,2016,20401575,17176492,2387227,605018,232838,Mississippi,South,East South Central,6621
Georgia,South,South Atlantic,2016,10179860,8514847,1290632,305040,69341,Mississippi,South,East South Central,5796
Hawaii,West,Pacific,2016,1410258,1217704,117894,57229,17431,Mississippi,South,East South Central,48
Idaho,West,Mountain,2016,1663756,1369449,214222,71556,8529,Mississippi,South,East South Central,0
Illinois,Midwest,East North Central,2016,12654142,10996695,1387848,203713,65886,Mississippi,South,East South Central,1608
Indiana,Midwest,East North Central,2016,6554084,5580090,801425,145782,26787,Mississippi,South,East South Central,1568
Iowa,Midwest,West North Central,2016,3097283,2622577,383520,78263,12923,Mississippi,South,East South Central,594
Kansas,Midwest,West North Central,2016,2870529,2394351,369971,88830,17377,Mississippi,South,East South Central,251
Kentucky,South,East South Central,2016,4385213,3698797,553718,113238,19460,Mississippi,South,East South Central,1710
Louisiana,South,West South Central,2016,4622042,3994321,526380,85371,15970,Mississippi,South,East South Central,8208
Maine,Northeast,New England,2016,1319292,1146220,129892,38590,4590,Mississippi,South,East South Central,0
Maryland,South,South Atlantic,2016,5949566,5140378,606423,158647,44118,Mississippi,South,East South Central,1246
Massachusetts,Northeast,New England,2016,6745441,5866016,657022,149408,72995,Mississippi,South,East South Central,50
Michigan,Midwest,East North Central,2016,9813772,8362412,1240633,155874,54853,Mississippi,South,East South Central,2885
Minnesota,Midwest,West North Central,2016,5455904,4669227,645164,111307,30206,Mississippi,South,East South Central,137
Mississippi,South,East South Central,2016,2951081,2556013,324577,64639,5852,Mississippi,South,East South Central,0
Missouri,Midwest,West North Central,2016,6022165,5078669,758791,162809,21896,Mississippi,South,East South Central,2988
Montana,West,Mountain,2016,1032794,863174,128300,37775,3545,Mississippi,South,East South Central,359
Nebraska,Midwest,West North Central,2016,1882987,1573126,248118,51448,10295,Mississippi,South,East South Central,455
Nevada,West,Mountain,2016,2907243,2400809,374058,117899,14477,Mississippi,South,East South Central,138
New Hampshire,Northeast,New England,2016,1322101,1122068,140603,52457,6973,Mississippi,South,East South Central,368
New Jersey,Northeast,Middle Atlantic,2016,8852286,7934689,703637,144359,69601,Mississippi,South,East South Central,267
New Mexico,West,Mountain,2016,2057857,1768040,214411,64802,10604,Mississippi,South,East South Central,0
New York,Northeast,Middle Atlantic,2016,19526443,17465164,1634487,260723,166069,Mississippi,South,East South Central,802
North Carolina,South,South Atlantic,2016,10032407,8460264,1190972,330896,50275,Mississippi,South,East South Central,1509
North Dakota,Midwest,West North Central,2016,746271,620891,91010,29655,4715,Mississippi,South,East South Central,422
Ohio,Midwest,East North Central,2016,11481752,9755589,1482286,195396,48481,Mississippi,South,East South Central,605
Oklahoma,South,West South Central,2016,3873232,3225478,530770,102000,14984,Mississippi,South,East South Central,865
Oregon,West,Pacific,2016,4052221,3307805,577950,139334,27132,Mississippi,South,East South Central,235
Pennsylvania,Northeast,Middle Atlantic,2016,12645493,11016361,1308271,252060,68801,Mississippi,South,East South Central,399
Rhode Island,Northeast,New England,2016,1045691,898574,106725,32800,7592,Mississippi,South,East South Central,135
South Carolina,South,South Atlantic,2016,4903788,4176954,542415,165230,19189,Mississippi,South,East South Central,760
South Dakota,Midwest,West North Central,2016,853832,720262,97747,31789,4034,Mississippi,South,East South Central,125
Tennessee,South,East South Central,2016,6580953,5644022,742615,170867,23449,Mississippi,South,East South Central,8739
Texas,South,West South Central,2016,27472626,23105984,3599897,531996,234749,Mississippi,South,East South Central,8825
Utah,West,Mountain,2016,3002244,2474308,396018,107083,24835,Mississippi,South,East South Central,186
Vermont,Northeast,New England,2016,619387,535268,60744,21262,2113,Mississippi,South,East South Central,0
Virginia,South,South Atlantic,2016,8312297,7008805,961003,264164,78325,Mississippi,South,East South Central,891
Washington,West,Pacific,2016,7202119,5924723,958326,257728,61342,Mississippi,South,East South Central,689
West Virginia,South,South Atlantic,2016,1810709,1582818,176953,47196,3742,Mississippi,South,East South Central,152
Wisconsin,Midwest,East North Central,2016,5712104,4876817,696530,118814,19943,Mississippi,South,East South Central,90
Wyoming,West,Mountain,2016,577567,472996,75995,26471,2105,Mississippi,South,East South Central,0
Puerto Rico,Puerto Rico,Puerto Rico,2016,3384760,3143116,216969,21196,3479,Mississippi,South,East South Central,0
Alabama,South,East South Central,2017,4819343,4158224,535649,111803,13667,Mississippi,South,East South Central,7798
Alaska,West,Pacific,2017,730874,595804,98168,30199,6703,Mississippi,South,East South Central,172
Arizona,West,Mountain,2017,6935358,5717189,911120,261727,45322,Mississippi,South,East South Central,1261
Arkansas,South,West South Central,2017,2968395,2509717,370309,79411,8958,Mississippi,South,East South Central,4171
California,West,Pacific,2017,39085984,34009331,4234770,523131,318752,Mississippi,South,East South Central,3299
Colorado,West,Mountain,2017,5542282,4546729,734182,226933,34438,Mississippi,South,East South Central,1085
Connecticut,Northeast,New England,2017,3556297,3136666,311726,83325,24580,Mississippi,South,East South Central,0
Delaware,South,South Atlantic,2017,952449,830905,78998,38532,4014,Mississippi,South,East South Central,0
District of Columbia,South,South Atlantic,2017,684810,554225,64013,56231,10341,Mississippi,South,East South Central,157
Florida,South,South Atlantic,2017,20772371,17554348,2402381,566476,249166,Mississippi,South,East South Central,4236
Georgia,South,South Atlantic,2017,10299497,8760762,1202587,278889,57259,Mississippi,South,East South Central,4597
Hawaii,West,Pacific,2017,1410750,1231340,115683,46457,17270,Mississippi,South,East South Central,171
Idaho,West,Mountain,2017,1694182,1405344,210310,71899,6629,Mississippi,South,East South Central,261
Illinois,Midwest,East North Central,2017,12659328,11026895,1365922,195092,71419,Mississippi,South,East South Central,2409
Indiana,Midwest,East North Central,2017,6591598,5633171,792487,142290,23650,Mississippi,South,East South Central,641
Iowa,Midwest,West North Central,2017,3106880,2654666,362905,77072,12237,Mississippi,South,East South Central,164
Kansas,Midwest,West North Central,2017,2876925,2413141,366147,86154,11483,Mississippi,South,East South Central,552
Kentucky,South,East South Central,2017,4404279,3721100,563721,103985,15473,Mississippi,South,East South Central,495
Louisiana,South,West South Central,2017,4629962,4030674,513676,72836,12776,Mississippi,South,East South Central,9011
Maine,Northeast,New England,2017,1322591,1140136,144186,34252,4017,Mississippi,South,East South Central,67
Maryland,South,South Atlantic,2017,5988007,5168350,605885,165654,48118,Mississippi,South,East South Central,806
Massachusetts,Northeast,New England,2017,6789798,5888011,677835,146299,77653,Mississippi,South,East South Central,45
Michigan,Midwest,East North Central,2017,9851330,8450559,1203536,148787,48448,Mississippi,South,East South Central,1828
Minnesota,Midwest,West North Central,2017,5510902,4728748,643272,115623,23259,Mississippi,South,East South Central,573
Mississippi,South,East South Central,2017,2946971,2553271,313673,73549,6478,Mississippi,South,East South Central,0
Missouri,Midwest,West North Central,2017,6039877,5108238,742205,164957,24477,Mississippi,South,East South Central,1543
Montana,West,Mountain,2017,1039170,883342,116400,35456,3972,Mississippi,South,East South Central,236
Nebraska,Midwest,West North Central,2017,1894217,1586729,243792,52507,11189,Mississippi,South,East South Central,0
Nevada,West,Mountain,2017,2963456,2430163,383067,133074,17152,Mississippi,South,East South Central,801
New Hampshire,Northeast,New England,2017,1330742,1134244,137212,52893,6393,Mississippi,South,East South Central,0
New Jersey,Northeast,Middle Atlantic,2017,8910191,7968039,710807,152106,79239,Mississippi,South,East South Central,78
New Mexico,West,Mountain,2017,2062628,1801560,193225,57255,10588,Mississippi,South,East South Central,421
New York,Northeast,Middle Atlantic,2017,19638923,17553033,1655152,285252,145486,Mississippi,South,East South Central,758
North Carolina,South,South Atlantic,2017,10158556,8649400,1139260,313834,56062,Mississippi,South,East South Central,1723
North Dakota,Midwest,West North Central,2017,744641,609017,92436,37315,5873,Mississippi,South,East South Central,372
Ohio,Midwest,East North Central,2017,11520109,9822847,1452745,198929,45588,Mississippi,South,East South Central,573
Oklahoma,South,West South Central,2017,3875922,3216306,542724,101961,14931,Mississippi,South,East South Central,1539
Oregon,West,Pacific,2017,4102048,3405784,520747,149513,26004,Mississippi,South,East South Central,367
Pennsylvania,Northeast,Middle Atlantic,2017,12674642,11072942,1292389,250120,59191,Mississippi,South,East South Central,1615
Rhode Island,Northeast,New England,2017,1048549,922210,83440,36850,6049,Mississippi,South,East South Central,166
South Carolina,South,South Atlantic,2017,4966211,4248517,531315,166573,19806,Mississippi,South,East South Central,1144
South Dakota,Midwest,West North Central,2017,856726,723740,99781,26106,7099,Mississippi,South,East South Central,14
Tennessee,South,East South Central,2017,6642072,5675990,748912,191909,25261,Mississippi,South,East South Central,8830
Texas,South,West South Central,2017,27924632,23534387,3643333,524511,222401,Mississippi,South,East South Central,11199
Utah,West,Mountain,2017,3056193,2532858,398606,99584,25145,Mississippi,South,East South Central,361
Vermont,Northeast,New England,2017,619089,536390,57588,21868,3243,Mississippi,South,East South Central,0
Virginia,South,South Atlantic,2017,8372522,7089782,958267,250490,73983,Mississippi,South,East South Central,1060
Washington,West,Pacific,2017,7318811,6016482,978057,260787,63485,Mississippi,South,East South Central,245
West Virginia,South,South Atlantic,2017,1798306,1589833,165375,40007,3091,Mississippi,South,East South Central,346
Wisconsin,Midwest,East North Central,2017,5731549,4908638,687285,112519,23107,Mississippi,South,East South Central,853
Wyoming,West,Mountain,2017,573483,481231,71338,18511,2403,Mississippi,South,East South Central,0
Puerto Rico,Puerto Rico,Puerto Rico,2017,3313519,3101332,189034,20167,2986,Mississippi,South,East South Central,0
Alabama,South,East South Central,2018,4832358,4173026,534914,109301,15117,Mississippi,South,East South Central,7653
Alaska,West,Pacific,2018,727164,608707,81229,32099,5129,Mississippi,South,East South Central,330
Arizona,West,Mountain,2018,7090137,5887700,888452,273714,40271,Mississippi,South,East South Central,1780
Arkansas,South,West South Central,2018,2975961,2539294,354774,73179,8714,Mississippi,South,East South Central,2568
California,West,Pacific,2018,39114889,34232867,4092388,501023,288611,Mississippi,South,East South Central,2393
Colorado,West,Mountain,2018,5633029,4626834,728730,239153,38312,Mississippi,South,East South Central,597
Connecticut,Northeast,New England,2018,3538203,3102312,320248,84718,30925,Mississippi,South,East South Central,0
Delaware,South,South Atlantic,2018,958770,853523,67984,34451,2812,Mississippi,South,East South Central,148
District of Columbia,South,South Atlantic,2018,693798,568201,68603,47555,9439,Mississippi,South,East South Central,146
Florida,South,South Atlantic,2018,21092877,17863603,2420485,587261,221528,Mississippi,South,East South Central,2984
Georgia,South,South Atlantic,2018,10410462,8909803,1174523,274273,51863,Mississippi,South,East South Central,2967
Hawaii,West,Pacific,2018,1403653,1211015,125172,54074,13392,Mississippi,South,East South Central,219
Idaho,West,Mountain,2018,1734756,1438727,209540,79765,6724,Mississippi,South,East South Central,209
Illinois,Midwest,East North Central,2018,12599244,11029483,1295596,206620,67545,Mississippi,South,East South Central,2169
Indiana,Midwest,East North Central,2018,6612948,5614432,821113,145256,32147,Mississippi,South,East South Central,1134
Iowa,Midwest,West North Central,2018,3119306,2662849,371285,74199,10973,Mississippi,South,East South Central,379
Kansas,Midwest,West North Central,2018,2874208,2392841,371025,95748,14594,Mississippi,South,East South Central,176
Kentucky,South,East South Central,2018,4414714,3744188,547535,110456,12535,Mississippi,South,East South Central,407
Louisiana,South,West South Central,2018,4603081,4033845,474843,81355,13038,Mississippi,South,East South Central,7505
Maine,Northeast,New England,2018,1324095,1143612,142453,34706,3324,Mississippi,South,East South Central,214
Maryland,South,South Atlantic,2018,5974521,5133916,630955,163216,46434,Mississippi,South,East South Central,888
Massachusetts,Northeast,New England,2018,6834364,5970065,653940,144042,66317,Mississippi,South,East South Central,78
Michigan,Midwest,East North Central,2018,9891083,8562101,1144840,139276,44866,Mississippi,South,East South Central,1124
Minnesota,Midwest,West North Central,2018,5543490,4781432,635928,100270,25860,Mississippi,South,East South Central,415
Mississippi,South,East South Central,2018,2955717,2582347,297788,68000,7582,Mississippi,South,East South Central,0
Missouri,Midwest,West North Central,2018,6053109,5161553,720626,152326,18604,Mississippi,South,East South Central,2814
Montana,West,Mountain,2018,1051757,891554,113693,43375,3135,Mississippi,South,East South Central,0
Nebraska,Midwest,West North Central,2018,1905843,1602056,239853,54579,9355,Mississippi,South,East South Central,353
Nevada,West,Mountain,2018,3003761,2495398,366629,127362,14372,Mississippi,South,East South Central,459
New Hampshire,Northeast,New England,2018,1344750,1170412,119936,48367,6035,Mississippi,South,East South Central,0
New Jersey,Northeast,Middle Atlantic,2018,8815804,7870909,722620,159846,62429,Mississippi,South,East South Central,239
New Mexico,West,Mountain,2018,2072546,1797834,204099,60068,10545,Mississippi,South,East South Central,1010
New York,Northeast,Middle Atlantic,2018,19329704,17327068,1614505,254447,133684,Mississippi,South,East South Central,447
North Carolina,South,South Atlantic,2018,10274540,8723401,1178884,318681,53574,Mississippi,South,East South Central,3441
North Dakota,Midwest,West North Central,2018,749825,623183,89228,33735,3679,Mississippi,South,East South Central,275
Ohio,Midwest,East North Central,2018,11555163,9892715,1426959,198026,37463,Mississippi,South,East South Central,2527
Oklahoma,South,West South Central,2018,3895983,3226343,548493,106943,14204,Mississippi,South,East South Central,446
Oregon,West,Pacific,2018,4152756,3438653,554097,140627,19379,Mississippi,South,East South Central,1070
Pennsylvania,Northeast,Middle Atlantic,2018,12674699,11119060,1239854,253520,62265,Mississippi,South,East South Central,1287
Rhode Island,Northeast,New England,2018,1047975,928114,78525,32841,8495,Mississippi,South,East South Central,0
South Carolina,South,South Atlantic,2018,5029034,4309043,511153,186505,22333,Mississippi,South,East South Central,895
South Dakota,Midwest,West North Central,2018,871271,740970,100177,26775,3349,Mississippi,South,East South Central,231
Tennessee,South,East South Central,2018,6692936,5706212,748791,209377,28556,Mississippi,South,East South Central,11641
Texas,South,West South Central,2018,28333482,23992374,3575604,563945,201559,Mississippi,South,East South Central,8663
Utah,West,Mountain,2018,3114717,2583764,408033,100824,22096,Mississippi,South,East South Central,216
Vermont,Northeast,New England,2018,621681,542177,50818,26306,2380,Mississippi,South,East South Central,0
Virginia,South,South Atlantic,2018,8424340,7142767,947475,274003,60095,Mississippi,South,East South Central,2832
Washington,West,Pacific,2018,7453439,6101533,1028654,260906,62346,Mississippi,South,East South Central,614
West Virginia,South,South Atlantic,2018,1787630,1585832,156420,43841,1537,Mississippi,South,East South Central,0
Wisconsin,Midwest,East North Central,2018,5751525,4960260,659159,114613,17493,Mississippi,South,East South Central,559
Wyoming,West,Mountain,2018,570867,479561,62957,25734,2615,Mississippi,South,East South Central,65
Puerto Rico,Puerto Rico,Puerto Rico,2018,3173956,2915696,234174,20900,3186,Mississippi,South,East South Central,0
Alabama,South,East South Central,2019,4849509,4197698,534842,104780,12189,Mississippi,South,East South Central,4377
Alaska,West,Pacific,2019,722063,609362,74375,34031,4295,Mississippi,South,East South Central,86
Arizona,West,Mountain,2019,7200620,6038776,861935,253295,46614,Mississippi,South,East South Central,393
Arkansas,South,West South Central,2019,2989054,2559444,361762,59723,8125,Mississippi,South,East South Central,1867
California,West,Pacific,2019,39084048,34394220,3943139,480204,266485,Mississippi,South,East South Central,2354
Colorado,West,Mountain,2019,5701658,4695821,736314,240600,28923,Mississippi,South,East South Central,554
Connecticut,Northeast,New England,2019,3531986,3106754,306070,90044,29118,Mississippi,South,East South Central,0
Delaware,South,South Atlantic,2019,964817,843383,79186,38014,4234,Mississippi,South,East South Central,26
District of Columbia,South,South Atlantic,2019,697556,563798,64893,58879,9986,Mississippi,South,East South Central,265
Florida,South,South Atlantic,2019,21269409,18083185,2381208,601611,203405,Mississippi,South,East South Central,4572
Georgia,South,South Atlantic,2019,10499808,9034705,1130068,284541,50494,Mississippi,South,East South Central,5502
Hawaii,West,Pacific,2019,1396819,1215974,116566,49708,14571,Mississippi,South,East South Central,0
Idaho,West,Mountain,2019,1764327,1478739,200377,78730,6481,Mississippi,South,East South Central,192
Illinois,Midwest,East North Central,2019,12536539,11014059,1274091,190627,57762,Mississippi,South,East South Central,765
Indiana,Midwest,East North Central,2019,6656971,5735703,743092,151443,26733,Mississippi,South,East South Central,699
Iowa,Midwest,West North Central,2019,3121385,2686528,348082,72651,14124,Mississippi,South,East South Central,424
Kansas,Midwest,West North Central,2019,2879518,2426897,345003,94648,12970,Mississippi,South,East South Central,521
Kentucky,South,East South Central,2019,4421512,3792437,517128,100057,11890,Mississippi,South,East South Central,246
Louisiana,South,West South Central,2019,4595111,4018892,491341,67640,17238,Mississippi,South,East South Central,5395
Maine,Northeast,New England,2019,1331656,1162558,128105,36129,4864,Mississippi,South,East South Central,0
Maryland,South,South Atlantic,2019,5979602,5224363,569388,141766,44085,Mississippi,South,East South Central,396
Massachusetts,Northeast,New England,2019,6828110,5975607,644535,144079,63889,Mississippi,South,East South Central,297
Michigan,Midwest,East North Central,2019,9880758,8606216,1104190,132008,38344,Mississippi,South,East South Central,1502
Minnesota,Midwest,West North Central,2019,5575235,4836702,606228,106920,25385,Mississippi,South,East South Central,495
Mississippi,South,East South Central,2019,2943737,2583691,291479,61683,6884,Mississippi,South,East South Central,0
Missouri,Midwest,West North Central,2019,6069697,5200465,694303,152345,22584,Mississippi,South,East South Central,2091
Montana,West,Mountain,2019,1056994,882156,129779,40862,4197,Mississippi,South,East South Central,30
Nebraska,Midwest,West North Central,2019,1910711,1622237,234322,46064,8088,Mississippi,South,East South Central,238
Nevada,West,Mountain,2019,3048602,2510591,384676,132950,20385,Mississippi,South,East South Central,1861
New Hampshire,Northeast,New England,2019,1350155,1173997,119189,50288,6681,Mississippi,South,East South Central,0
New Jersey,Northeast,Middle Atlantic,2019,8791672,7888800,689445,149260,64167,Mississippi,South,East South Central,499
New Mexico,West,Mountain,2019,2073628,1816418,189705,55545,11960,Mississippi,South,East South Central,83
New York,Northeast,Middle Atlantic,2019,19240920,17213380,1638372,254806,134362,Mississippi,South,East South Central,444
North Carolina,South,South Atlantic,2019,10371906,8834381,1170200,315215,52110,Mississippi,South,East South Central,818
North Dakota,Midwest,West North Central,2019,750501,615450,94413,36668,3970,Mississippi,South,East South Central,0
Ohio,Midwest,East North Central,2019,11556037,9891733,1415185,205542,43577,Mississippi,South,East South Central,1413
Oklahoma,South,West South Central,2019,3907258,3282746,509137,101844,13531,Mississippi,South,East South Central,271
Oregon,West,Pacific,2019,4178578,3527178,501680,129921,19799,Mississippi,South,East South Central,10
Pennsylvania,Northeast,Middle Atlantic,2019,12670245,11092255,1259103,267465,51422,Mississippi,South,East South Central,65
Rhode Island,Northeast,New England,2019,1050602,930406,80686,34984,4526,Mississippi,South,East South Central,49
South Carolina,South,South Atlantic,2019,5092727,4414770,478892,176008,23057,Mississippi,South,East South Central,546
South Dakota,Midwest,West North Central,2019,872708,739009,102133,26934,4632,Mississippi,South,East South Central,24
Tennessee,South,East South Central,2019,6754461,5782145,755183,196765,20368,Mississippi,South,East South Central,12011
Texas,South,West South Central,2019,28642658,24347958,3517954,559661,217085,Mississippi,South,East South Central,6316
Utah,West,Mountain,2019,3162102,2661654,389057,95608,15783,Mississippi,South,East South Central,168
Vermont,Northeast,New England,2019,617560,536752,57776,21212,1820,Mississippi,South,East South Central,0
Virginia,South,South Atlantic,2019,8439982,7201805,903735,264855,69587,Mississippi,South,East South Central,1512
Washington,West,Pacific,2019,7527366,6253469,977928,231956,64013,Mississippi,South,East South Central,136
West Virginia,South,South Atlantic,2019,1773280,1563611,164739,39548,5382,Mississippi,South,East South Central,0
